fecha,provincia,concepto,categoria,valor_real,variacion_interanual_pct,fuente
2023-04,San Juan,Sellos,Impuesto provincial,3199264928,36.6,Carga de usuario
2023-04,San Juan,DJ,Otros recursos provinciales,5402031.98,508.0,Carga de usuario
2023-04,San Juan,Otros impuestos,Otros recursos provinciales,2765471688,-39.1,Carga de usuario
2023-04,San Juan,Total,Total recursos provinciales,38774579982,-0.6,Carga de usuario
2023-05,San Juan,Ingresos Brutos,Impuesto provincial,29251723519,10.4,Carga de usuario
2023-05,San Juan,Inmobiliario,Impuesto provincial,1063474297,-10.6,Carga de usuario
2023-05,San Juan,Automotor,Impuesto provincial,3573888497,-8.7,Carga de usuario
2023-05,San Juan,Sellos,Impuesto provincial,3149711187,25.2,Carga de usuario
2023-05,San Juan,DJ,Otros recursos provinciales,1207461.29,-38.3,Carga de usuario
2023-05,San Juan,Otros impuestos,Otros recursos provinciales,2991376495,-34.8,Carga de usuario
2023-05,San Juan,Total,Total recursos provinciales,40031381457,3.4,Carga de usuario
2023-06,San Juan,Ingresos Brutos,Impuesto provincial,28109548796,8.2,Carga de usuario
2023-06,San Juan,Inmobiliario,Impuesto provincial,996776521.10,-14.0,Carga de usuario
2023-06,San Juan,Automotor,Impuesto provincial,3438327988,-8.5,Carga de usuario
2023-06,San Juan,Sellos,Impuesto provincial,4479322119,101.2,Carga de usuario
2023-06,San Juan,DJ,Otros recursos provinciales,2787602.98,-21.9,Carga de usuario
2023-06,San Juan,Otros impuestos,Otros recursos provinciales,2535385127,-43.5,Carga de usuario
2023-06,San Juan,Total,Total recursos provinciales,39562148154,5.2,Carga de usuario
2023-07,San Juan,Ingresos Brutos,Impuesto provincial,28975669801,1.2,Carga de usuario
2023-07,San Juan,Inmobiliario,Impuesto provincial,1071748625,-17.4,Carga de usuario
2023-07,San Juan,Automotor,Impuesto provincial,3869689168,-4.6,Carga de usuario
2023-07,San Juan,Sellos,Impuesto provincial,3732883781,44.8,Carga de usuario
2023-07,San Juan,DJ,Otros recursos provinciales,660458.61,-84.8,Carga de usuario
2023-07,San Juan,Otros impuestos,Otros recursos provinciales,3240913503,-32.3,Carga de usuario
2023-07,San Juan,Total,Total recursos provinciales,40891565336,-1.1,Carga de usuario
2023-08,San Juan,Ingresos Brutos,Impuesto provincial,27062579414,0.0,Carga de usuario
2023-08,San Juan,Inmobiliario,Impuesto provincial,1061207735,-22.4,Carga de usuario
2023-08,San Juan,Automotor,Impuesto provincial,3842157994,-11.3,Carga de usuario
2023-08,San Juan,Sellos,Impuesto provincial,3408586830,31.3,Carga de usuario
2023-08,San Juan,DJ,Otros recursos provinciales,349738.32,-90.1,Carga de usuario
2023-08,San Juan,Otros impuestos,Otros recursos provinciales,2989110677,-38.1,Carga de usuario
2023-08,San Juan,Total,Total recursos provinciales,38363992387,-4.5,Carga de usuario
2023-09,San Juan,Ingresos Brutos,Impuesto provincial,28335117095,8.6,Carga de usuario
2023-09,San Juan,Inmobiliario,Impuesto provincial,737992598.90,-16.1,Carga de usuario
2023-09,San Juan,Automotor,Impuesto provincial,2702179302,-21.3,Carga de usuario
2023-09,San Juan,Sellos,Impuesto provincial,3447591947,19.6,Carga de usuario
2023-09,San Juan,DJ,Otros recursos provinciales,4361417.99,26.7,Carga de usuario
2023-09,San Juan,Otros impuestos,Otros recursos provinciales,2976526935,-36.7,Carga de usuario
2023-09,San Juan,Total,Total recursos provinciales,38203769296,0.5,Carga de usuario
2023-10,San Juan,Ingresos Brutos,Impuesto provincial,30372698130,19.0,Carga de usuario
2023-10,San Juan,Inmobiliario,Impuesto provincial,678708025.10,-21.0,Carga de usuario
2023-10,San Juan,Automotor,Impuesto provincial,2663766326,-13.4,Carga de usuario
2023-10,San Juan,Sellos,Impuesto provincial,3280986132,31.6,Carga de usuario
2023-10,San Juan,DJ,Otros recursos provinciales,6388411.00,136.8,Carga de usuario
2023-10,San Juan,Otros impuestos,Otros recursos provinciales,3019488278,-34.6,Carga de usuario
2023-10,San Juan,Total,Total recursos provinciales,40022035302,9.5,Carga de usuario
2023-11,San Juan,Ingresos Brutos,Impuesto provincial,28586570869,8.7,Carga de usuario
2023-11,San Juan,Inmobiliario,Impuesto provincial,579976460.30,-29.2,Carga de usuario
2023-11,San Juan,Automotor,Impuesto provincial,2471312152,-18.2,Carga de usuario
2023-11,San Juan,Sellos,Impuesto provincial,2864748428,10.8,Carga de usuario
2023-11,San Juan,DJ,Otros recursos provinciales,2666763.75,75.8,Carga de usuario
2023-11,San Juan,Otros impuestos,Otros recursos provinciales,3691102791,-9.7,Carga de usuario
2023-11,San Juan,Total,Total recursos provinciales,38196377464,3.7,Carga de usuario
